"idem","year","Gini_net","gdp_gro","Trade","Gov_ex","Secondary_ed","employ_rate","Education_exp","Health_exp","Soc_kind","Soc_payable","Social_prot_ex_pen","Unemp_tra","Property_taxes","PIT","ind_tx","Corporate_ta","mrp_all","arp_mid","pi_a","pi_m","sav_gdp","RD_gdp","res_1mill","rd","rd1","Gov_debt","cycle","trend","gi_bb","phat0","invwt","mu","mu0","mu1","mdiff1","iptw","dr1","id","phat","ate"
"Austria",2014,1.444044796,1.226319308,2.011707139,1.719331287,1.73239376,1.851716868,0.695931593,0.89702788,0.591064607,1.285557309,0.84509804,0.161217938,-2.990508559,-1.010408646,0.885522549,-0.22387002,-1.065983325,-1.174594294,1.186820229,1.077078768,1.428146192,0.489155206,3.694418699,5.276169997,0.698585144,1.924524888,-0.002096513,1.446141309,0,0.474645638219351,1.90347710564461,0.0021448403369535,4.60034007102281e-06,0,4.15630193234859e-06,-2.74870620871124,-2.7487020524093,"1",0.474645638219351,1
"Austria",2015,1.444044796,1.227884659,2.01041579,1.7084209,1.733197265,1.851869601,0.69019608,0.913813852,0.591064607,1.276461804,0.838849091,0.146128036,-3.420602303,-0.997182994,0.887482039,0.347303078,-1.003774995,-1.112385994,1.109252396,1.000947355,1.44020794,0.484269936,3.700655136,5.32971291,0.697449407,1.928878007,-0.002575188,1.446619984,0,0.478745431418448,1.91844841326038,0.000508751901990179,2.5882849777862e-07,0,2.3772062309134e-07,-2.7703254475631,-2.77032520984248,"1",0.478745431418448,1
"Austria",2016,1.445604203,1.223280057,2.004616617,1.699837726,1.725094521,1.854609638,0.69019608,0.913813852,0.591064607,1.271841607,0.838849091,0.146128036,-3.561396667,-1.0563416,0.892014078,0.371904966,NA,NA,NA,NA,1.447550116,0.494972302,3.718032626,5.382038558,0.716497213,1.918557082,0.000199508,1.445404696,1,0.481284027359983,2.07777516633029,0.000909496681003041,0,8.27184212755547e-07,-8.91518602488399e-07,3.00364051333609,3.00363962181749,"1",0.481284027359983,1
"Austria",2017,1.444044796,1.22300041,2.02025011,1.691081492,NA,NA,0.681241237,0.913813852,0.591064607,1.260071388,0.819543936,0.113943352,-3.675715873,-1.055377214,0.880813592,0.39176618,NA,NA,NA,NA,1.451653869,0.484601605,3.731421861,5.416732982,0.703473795,1.893614065,0.005905651,1.438139145,1,0.485991287460886,2.0576500562893,-0.00274070178687746,0,7.51144628459331e-06,-7.94448158571416e-06,2.97133885577367,2.97133091129208,"1",0.485991287460886,1
"Austria",2018,1.444044796,1.224470905,2.032579527,1.686636269,NA,NA,0.681241237,0.913813852,0.591064607,1.252853031,0.806179974,0.079181246,-3.485190803,-1.038891367,0.880813592,0.431306659,NA,NA,NA,NA,1.461127724,0.501301687,3.758387672,5.491484424,0.732465793,1.869019356,0.023405821,1.420638975,1,0.487581621567573,2.0509386649665,-0.00190932278757039,0,3.64551350713556e-06,-3.8312110983064e-06,2.96164730606007,2.96164347484897,"1",0.487581621567573,1
"Belgium",1991,1.372912003,1.243202005,2.070822657,NA,NA,1.783081672,NA,NA,NA,NA,NA,NA,-3.538027018,-0.915635763,NA,0.29578694,-1.02198848,-1.114898413,1.020840859,0.935769201,1.386465814,NA,NA,NA,NA,NA,-0.005815709,1.378727712,0,NA,NA,0.000549658898105321,3.02124904266355e-07,0,NA,NA,NA,"2",NA,1
"Belgium",1992,1.372912003,1.23933075,2.057724911,NA,1.463892989,1.778257273,NA,NA,NA,NA,NA,NA,-3.50897023,-0.918354878,NA,0.182129214,-1.020810971,-1.112705162,1.021858213,0.937466734,1.396130283,NA,NA,NA,NA,NA,-0.003959402,1.376871405,0,NA,NA,0.00377527147097667,1.42526746795704e-05,0,NA,NA,NA,"2",NA,1
"Belgium",1993,1.387389826,1.233489438,2.034232996,NA,1.456366033,1.77337868,NA,NA,NA,NA,NA,NA,-3.069752712,-0.89556405,NA,0.284430734,-1.022601084,-1.115776889,0.99924967,0.915804768,1.398711918,NA,NA,NA,NA,NA,0.002683682,1.384706144,1,NA,NA,0.00426658638071564,0,1.82037593441082e-05,NA,NA,NA,"2",NA,1
"Belgium",1994,1.399673721,1.239072353,2.050722621,NA,1.475671188,1.76844466,NA,NA,NA,NA,NA,NA,-3.055170159,-0.90350211,NA,0.335658452,-1.033159274,-1.128147548,1.01928369,0.933461584,1.40794756,NA,NA,NA,NA,NA,0.004388522,1.395285199,1,NA,NA,0.00268013375127674,0,7.18311692473272e-06,NA,NA,NA,"2",NA,1
"Belgium",1995,1.40654018,1.229974592,2.062623774,1.719331287,1.494154594,1.768402985,0.76004427,0.769860071,0.755874856,1.193124598,0.927146301,NA,-3.151087379,-0.904473073,0.81226144,0.363235804,-1.015188797,-1.107583675,1.001779611,0.918210931,1.408934072,NA,NA,NA,NA,2.115610512,0.002565472,1.403974709,1,0.504667564825251,1.98150241802496,-0.0050531653725594,0,2.55344802824334e-05,-2.50621541402189e-05,2.78706276771926,2.78703770556512,"2",0.504667564825251,1
"Belgium",1996,1.409933123,1.236375188,2.072104269,1.721810615,1.507855872,1.76848133,0.768261353,0.792746288,0.77815125,1.195899652,0.92961705,NA,-3.212011033,-0.9168072,0.821521512,0.416474079,-1.002721123,-1.089691018,0.999036572,0.919301946,1.394499887,0.237953209,3.391235755,4.729077879,0.331825724,2.10720997,1.02e-05,1.40992296,1,0.500318686127894,1.99872606745768,-0.00142703044570691,0,2.03641589297446e-06,-2.03382163649871e-06,2.81807008631212,2.81806805249048,"2",0.500318686127894,1
"Belgium",1997,1.411619706,1.238830554,2.09470382,1.709269961,1.507855872,1.769719092,0.760752967,0.767451507,0.755874856,1.190331698,0.924403267,NA,-3.06861277,-0.911292876,0.823649313,0.442793226,-1.014538938,-1.10822788,1.009920172,0.924542107,1.418045342,0.254006382,3.409731001,4.835153162,0.360192566,2.090610708,-0.002869527,1.414489233,0,0.503607422212376,2.014534553391,0.00425365112286125,1.80935478750188e-05,0,1.83565295126409e-05,-2.84375667398465,-2.84373831745514,"2",0.503607422212376,1
"Belgium",1998,1.419955748,1.234562386,2.091611242,1.704150517,1.496929648,1.769488176,0.764394709,0.770669554,0.763427994,1.181843588,0.916350001,NA,-3.033909035,-0.909185258,0.819652599,0.519565501,-1.035140494,-1.125496748,1.023285051,0.941134477,1.414776643,0.260934347,3.430597888,4.853529763,0.369163819,2.072617477,0.000914184,1.419041564,1,0.499270589817562,2.00292190326174,0.00397906637705137,0,1.58329692329807e-05,-1.58792316374255e-05,2.8440604693316,2.84404459009996,"2",0.499270589817562,1
"Belgium",1999,1.423245874,1.236285167,2.093411302,1.699837726,1.487138375,1.773054693,0.757211723,0.7776127,0.770852012,1.173186268,0.905904598,NA,-2.987226189,-0.922521402,0.842457715,0.498586209,-1.02754165,-1.119679855,1.03292863,0.947929164,1.425618012,0.27661803,3.4622753,4.935882028,0.394351646,2.058426024,0.000770916,1.422474958,1,0.49811843043226,2.00755470768711,0.00382408954002833,0,1.46236608101541e-05,-1.47341382928903e-05,2.85724395454496,2.85722922040667,"2",0.49811843043226,1
